meeting_id,category,num_speakers,num_action_items,num_decisions,num_issues,transcript_word_count,split
SC001,event_planning,4,3,1,2,251,validation
SC002,event_planning,5,4,1,1,230,validation
SC003,event_planning,4,4,1,2,260,train_dev
SC004,event_planning,4,4,2,1,285,train_dev
SC005,event_planning,4,3,2,1,262,train_dev
SC006,event_planning,5,3,2,1,238,train_dev
SC007,event_planning,5,3,2,1,256,train_dev
SC008,event_planning,5,4,2,2,299,validation
SC009,event_planning,5,4,2,2,298,train_dev
SC010,event_planning,4,4,2,2,301,test
SC011,technical_club,5,3,2,2,271,train_dev
SC012,technical_club,5,4,2,1,301,train_dev
SC013,technical_club,5,3,2,1,261,train_dev
SC014,technical_club,4,4,1,1,254,train_dev
SC015,technical_club,4,3,1,2,269,train_dev
SC016,technical_club,4,3,2,1,305,train_dev
SC017,technical_club,4,3,2,1,260,train_dev
SC018,technical_club,4,4,1,1,249,train_dev
SC019,technical_club,4,3,1,1,216,train_dev
SC020,technical_club,4,3,2,1,278,train_dev
SC021,cultural_club,4,4,2,2,302,validation
SC022,cultural_club,4,3,1,1,216,train_dev
SC023,cultural_club,4,4,2,1,318,test
SC024,cultural_club,5,4,2,1,308,train_dev
SC025,cultural_club,4,3,2,2,279,validation
SC026,cultural_club,5,4,2,1,283,test
SC027,cultural_club,5,3,2,2,266,train_dev
SC028,cultural_club,5,4,2,1,272,test
SC029,cultural_club,5,4,2,1,279,test
SC030,cultural_club,4,4,2,1,299,test
SC031,project_meetings,5,4,2,1,294,train_dev
SC032,project_meetings,5,4,1,1,220,train_dev
SC033,project_meetings,5,4,2,2,292,test
SC034,project_meetings,5,4,2,1,267,test
SC035,project_meetings,4,4,1,1,242,validation
SC036,project_meetings,4,3,1,1,209,train_dev
SC037,project_meetings,5,3,2,1,261,train_dev
SC038,project_meetings,5,3,2,2,286,train_dev
SC039,project_meetings,4,3,1,1,235,train_dev
SC040,project_meetings,4,3,1,1,227,validation
SC041,recruitment,4,4,2,2,308,test
SC042,recruitment,5,3,2,2,289,validation
SC043,recruitment,5,4,2,2,300,train_dev
SC044,recruitment,4,3,1,2,246,validation
SC045,recruitment,5,3,1,1,232,train_dev
SC046,budget_finance,4,4,1,2,287,train_dev
SC047,budget_finance,4,3,2,2,281,validation
SC048,budget_finance,5,3,2,2,292,train_dev
SC049,budget_finance,4,3,1,2,247,train_dev
SC050,budget_finance,4,4,2,2,322,test
SC051,workshops_seminars,4,3,1,2,239,train_dev
SC052,workshops_seminars,4,3,2,2,286,train_dev
SC053,workshops_seminars,5,4,1,1,247,test
SC054,workshops_seminars,4,4,1,1,232,train_dev
SC055,workshops_seminars,5,3,2,2,260,train_dev
SC056,competitions,4,3,2,1,267,train_dev
SC057,competitions,4,3,2,1,266,train_dev
SC058,competitions,5,4,2,1,276,train_dev
SC059,competitions,5,4,1,2,273,train_dev
SC060,competitions,5,3,2,1,269,train_dev
SC061,mixed,5,3,1,2,237,train_dev
SC062,mixed,4,4,2,2,322,train_dev
SC063,mixed,4,3,1,1,221,train_dev
SC064,mixed,5,4,2,1,279,train_dev
SC065,mixed,4,4,2,1,302,train_dev
SC066,mixed,4,3,1,2,220,train_dev
SC067,mixed,4,3,2,1,256,train_dev
SC068,mixed,5,3,1,1,215,train_dev
SC069,mixed,4,3,1,1,197,train_dev
SC070,mixed,4,4,1,1,237,train_dev
